author,time_published,description,hashtags,music,engagement,video_url,username,nickname
"{""username"": ""huongstore.06"", ""nickname"": ""Kem che khuyết điểm 🐰""}",,Bùn vậy,"['#kemchekhuyetdiem', '#chekhuyetdiemxuatsac', '#kemtrangda', '#xuhuongtiktok', '#chekhuyetdiem', '#kemchexam', '#nangtone']","{""title"": ""Hoa Sa Đéc - 𝓑𝓸̂𝓷𝓰  🌻"", ""link"": ""/music/Hoa-Sa-Đéc-6998407967250975514""}","{""likes"": 753900.0, ""comments"": 8582, ""shares"": 29000.0}",https://www.tiktok.com/@huongstore.06/video/7525692408676224272,huongstore.06,Kem che khuyết điểm 🐰
"{""username"": ""luky889889"", ""nickname"": ""Hoàng Tử Đau đẻ""}",,trải nghiệm cảm giác đau đẻ tại chợ đêm sapa,[],"{""title"": ""nhạc nền - 𝓐𝓒𝓱𝓲 🍀 - Khéo tay hay làm 🐿"", ""link"": ""/music/nhạc-nền-𝓐𝓒𝓱𝓲-🍀-7275724550921718529""}","{""likes"": 460900.0, ""comments"": 11600.0, ""shares"": 223600.0}",https://www.tiktok.com/@luky889889/video/7525659423247846663,luky889889,Hoàng Tử Đau đẻ
"{""username"": ""gianghomang247"", ""nickname"": ""GIANG HỒ MẠNG""}",,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']","{""title"": ""nhạc nền  - GIANG HỒ MẠNG"", ""link"": ""/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993""}","{""likes"": 287600.0, ""comments"": 6107, ""shares"": 17300.0}",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG
"{""username"": ""haisanthanhvan"", ""nickname"": ""haisanthanhvan""}",,Quá kinh khủng chưa đầy 15 dây,['#giôngbão'],"{""title"": ""最新事件紧急播报新闻紧张气氛战争 - 伴奏 - 大事件短视频新闻 背景音乐"", ""link"": ""/music/最新事件紧急播报新闻紧张气氛战争-伴奏-7361704778831169552""}","{""likes"": 270700.0, ""comments"": 5793, ""shares"": 25100.0}",https://www.tiktok.com/@haisanthanhvan/video/7525425296992963847,haisanthanhvan,haisanthanhvan
"{""username"": ""plxhvn2"", ""nickname"": ""Tin Nóng Hàng Ngày""}",,Thợ làm cửa ẩu quá 😨,"['#tainan', '#mayman', '#tintuc', '#plxhvn', '#phapluatxahoi']","{""title"": ""nhạc nền  - Tin Nóng Hàng Ngày"", ""link"": ""/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7524805609854700343""}","{""likes"": 49400.0, ""comments"": 1103, ""shares"": 2268}",https://www.tiktok.com/@plxhvn2/video/7524805462311636238,plxhvn2,Tin Nóng Hàng Ngày
"{""username"": ""vuhoangphuongnam"", ""nickname"": ""Vũ Hoàng Phương Nam""}",,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']","{""title"": ""nhạc nền  - paullummeme"", ""link"": ""/music/nhạc-nền-paullummeme-7389223069463612176""}","{""likes"": 1100000.0, ""comments"": 3371, ""shares"": 47300.0}",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam
"{""username"": ""plxhvn2"", ""nickname"": ""Tin Nóng Hàng Ngày""}",,Báo thủ mầm non 😂,"['#giadinh', '#treem', '#vuive', '#funny', '#haihuoc', '#haha', '#plxhvn', '#phapluatxahoi', '#giaitri']","{""title"": ""nhạc nền  - Tin Nóng Hàng Ngày"", ""link"": ""/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7525476297275886350""}","{""likes"": 57500.0, ""comments"": 484, ""shares"": 9204}",https://www.tiktok.com/@plxhvn2/video/7525476265239891255,plxhvn2,Tin Nóng Hàng Ngày
"{""username"": ""luky889889"", ""nickname"": ""Hoàng Tử Đau đẻ""}",,trải nghiệm cảm giác đau đẻ tại chợ đêm sapa,[],"{""title"": ""nhạc nền - 𝓐𝓒𝓱𝓲 🍀 - Khéo tay hay làm 🐿"", ""link"": ""/music/nhạc-nền-𝓐𝓒𝓱𝓲-🍀-7275724550921718529""}","{""likes"": 460900.0, ""comments"": 11600.0, ""shares"": 223600.0}",https://www.tiktok.com/@luky889889/video/7525659423247846663,luky889889,Hoàng Tử Đau đẻ
"{""username"": ""gianghomang247"", ""nickname"": ""GIANG HỒ MẠNG""}",,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']","{""title"": ""nhạc nền  - GIANG HỒ MẠNG"", ""link"": ""/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993""}","{""likes"": 287600.0, ""comments"": 6107, ""shares"": 17300.0}",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG
"{""username"": ""haisanthanhvan"", ""nickname"": ""haisanthanhvan""}",,Quá kinh khủng chưa đầy 15 dây,['#giôngbão'],"{""title"": ""最新事件紧急播报新闻紧张气氛战争 - 伴奏 - 大事件短视频新闻 背景音乐"", ""link"": ""/music/最新事件紧急播报新闻紧张气氛战争-伴奏-7361704778831169552""}","{""likes"": 270700.0, ""comments"": 5793, ""shares"": 25100.0}",https://www.tiktok.com/@haisanthanhvan/video/7525425296992963847,haisanthanhvan,haisanthanhvan
"{""username"": ""vuhoangphuongnam"", ""nickname"": ""Vũ Hoàng Phương Nam""}",,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']","{""title"": ""nhạc nền  - paullummeme"", ""link"": ""/music/nhạc-nền-paullummeme-7389223069463612176""}","{""likes"": 1100000.0, ""comments"": 3373, ""shares"": 47400.0}",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam
"{""username"": ""plxhvn2"", ""nickname"": ""Tin Nóng Hàng Ngày""}",,Báo thủ mầm non 😂,"['#giadinh', '#treem', '#vuive', '#funny', '#haihuoc', '#haha', '#plxhvn', '#phapluatxahoi', '#giaitri']","{""title"": ""nhạc nền  - Tin Nóng Hàng Ngày"", ""link"": ""/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7525476297275886350""}","{""likes"": 57500.0, ""comments"": 484, ""shares"": 9204}",https://www.tiktok.com/@plxhvn2/video/7525476265239891255,plxhvn2,Tin Nóng Hàng Ngày
"{""username"": ""luky889889"", ""nickname"": ""Hoàng Tử Đau đẻ""}",,trải nghiệm cảm giác đau đẻ tại chợ đêm sapa,[],"{""title"": ""nhạc nền - 𝓐𝓒𝓱𝓲 🍀 - Khéo tay hay làm 🐿"", ""link"": ""/music/nhạc-nền-𝓐𝓒𝓱𝓲-🍀-7275724550921718529""}","{""likes"": 460900.0, ""comments"": 11600.0, ""shares"": 223600.0}",https://www.tiktok.com/@luky889889/video/7525659423247846663,luky889889,Hoàng Tử Đau đẻ
"{""username"": ""gianghomang247"", ""nickname"": ""GIANG HỒ MẠNG""}",,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']","{""title"": ""nhạc nền  - GIANG HỒ MẠNG"", ""link"": ""/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993""}","{""likes"": 287700.0, ""comments"": 6108, ""shares"": 17300.0}",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG
"{""username"": ""haisanthanhvan"", ""nickname"": ""haisanthanhvan""}",,Quá kinh khủng chưa đầy 15 dây,['#giôngbão'],"{""title"": ""最新事件紧急播报新闻紧张气氛战争 - 伴奏 - 大事件短视频新闻 背景音乐"", ""link"": ""/music/最新事件紧急播报新闻紧张气氛战争-伴奏-7361704778831169552""}","{""likes"": 270700.0, ""comments"": 5793, ""shares"": 25100.0}",https://www.tiktok.com/@haisanthanhvan/video/7525425296992963847,haisanthanhvan,haisanthanhvan
"{""username"": ""vuhoangphuongnam"", ""nickname"": ""Vũ Hoàng Phương Nam""}",,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']","{""title"": ""nhạc nền  - paullummeme"", ""link"": ""/music/nhạc-nền-paullummeme-7389223069463612176""}","{""likes"": 1100000.0, ""comments"": 3373, ""shares"": 47400.0}",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam
"{""username"": ""plxhvn2"", ""nickname"": ""Tin Nóng Hàng Ngày""}",,Báo thủ mầm non 😂,"['#giadinh', '#treem', '#vuive', '#funny', '#haihuoc', '#haha', '#plxhvn', '#phapluatxahoi', '#giaitri']","{""title"": ""nhạc nền  - Tin Nóng Hàng Ngày"", ""link"": ""/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7525476297275886350""}","{""likes"": 57500.0, ""comments"": 484, ""shares"": 9204}",https://www.tiktok.com/@plxhvn2/video/7525476265239891255,plxhvn2,Tin Nóng Hàng Ngày
"{""username"": ""dangvuongne"", ""nickname"": ""Đăng Vương.""}",,Mũi khoan tình yêu,"['#dangvuong', '#couple', '#xuhuong', '#fyp']","{""title"": ""nhạc nền  - Đăng Vương."", ""link"": ""/music/nhạc-nền-Đăng-Vương-7524945423748975361""}","{""likes"": 393500.0, ""comments"": 4589, ""shares"": 154700.0}",https://www.tiktok.com/@dangvuongne/video/7524945396729138440,dangvuongne,Đăng Vương.
"{""username"": ""gianghomang247"", ""nickname"": ""GIANG HỒ MẠNG""}",,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']","{""title"": ""nhạc nền  - GIANG HỒ MẠNG"", ""link"": ""/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993""}","{""likes"": 287700.0, ""comments"": 6108, ""shares"": 17300.0}",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG
"{""username"": ""haisanthanhvan"", ""nickname"": ""haisanthanhvan""}",,Quá kinh khủng chưa đầy 15 dây,['#giôngbão'],"{""title"": ""最新事件紧急播报新闻紧张气氛战争 - 伴奏 - 大事件短视频新闻 背景音乐"", ""link"": ""/music/最新事件紧急播报新闻紧张气氛战争-伴奏-7361704778831169552""}","{""likes"": 270700.0, ""comments"": 5793, ""shares"": 25100.0}",https://www.tiktok.com/@haisanthanhvan/video/7525425296992963847,haisanthanhvan,haisanthanhvan
"{""username"": ""vuhoangphuongnam"", ""nickname"": ""Vũ Hoàng Phương Nam""}",,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']","{""title"": ""nhạc nền  - paullummeme"", ""link"": ""/music/nhạc-nền-paullummeme-7389223069463612176""}","{""likes"": 1100000.0, ""comments"": 3374, ""shares"": 47400.0}",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam
"{""username"": ""plxhvn2"", ""nickname"": ""Tin Nóng Hàng Ngày""}",,Báo thủ mầm non 😂,"['#giadinh', '#treem', '#vuive', '#funny', '#haihuoc', '#haha', '#plxhvn', '#phapluatxahoi', '#giaitri']","{""title"": ""nhạc nền  - Tin Nóng Hàng Ngày"", ""link"": ""/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7525476297275886350""}","{""likes"": 57500.0, ""comments"": 484, ""shares"": 9204}",https://www.tiktok.com/@plxhvn2/video/7525476265239891255,plxhvn2,Tin Nóng Hàng Ngày
"{""username"": ""dipquanne"", ""nickname"": ""Dịp Quân""}",,Né cái tay gặp ngay cái cột,['#couple'],"{""title"": ""nhạc nền  - Dịp Quân"", ""link"": ""/music/nhạc-nền-Dịp-Quân-7524545593814469392""}","{""likes"": 502300.0, ""comments"": 8408, ""shares"": 150500.0}",https://www.tiktok.com/@dipquanne/video/7524545567163256082,dipquanne,Dịp Quân
"{""username"": ""gianghomang247"", ""nickname"": ""GIANG HỒ MẠNG""}",,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']","{""title"": ""nhạc nền  - GIANG HỒ MẠNG"", ""link"": ""/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993""}","{""likes"": 287700.0, ""comments"": 6109, ""shares"": 17300.0}",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG
"{""username"": ""haisanthanhvan"", ""nickname"": ""haisanthanhvan""}",,Quá kinh khủng chưa đầy 15 dây,['#giôngbão'],"{""title"": ""最新事件紧急播报新闻紧张气氛战争 - 伴奏 - 大事件短视频新闻 背景音乐"", ""link"": ""/music/最新事件紧急播报新闻紧张气氛战争-伴奏-7361704778831169552""}","{""likes"": 270700.0, ""comments"": 5793, ""shares"": 25100.0}",https://www.tiktok.com/@haisanthanhvan/video/7525425296992963847,haisanthanhvan,haisanthanhvan
"{""username"": ""vuhoangphuongnam"", ""nickname"": ""Vũ Hoàng Phương Nam""}",,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']","{""title"": ""nhạc nền  - paullummeme"", ""link"": ""/music/nhạc-nền-paullummeme-7389223069463612176""}","{""likes"": 1100000.0, ""comments"": 3374, ""shares"": 47400.0}",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam
